Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10476
Anjou,3522
Baie-D'Urfé,95
Beaconsfield,481
Côte-des-Neiges–Notre-Dame-de-Grâce,11870
Côte-Saint-Luc,2811
Dollard-des-Ormeaux,2806
Dorval,808
Hampstead,391
Kirkland,766
Lachine,2950
LaSalle,5649
L'Île-Bizard–Sainte-Geneviève,1068
Mercier–Hochelaga-Maisonneuve,8771
Montréal-Est,273
Montréal-Nord,9061
Montréal-Ouest,187
Mont-Royal,1119
Outremont,1266
Pierrefonds–Roxboro,4229
Plateau-Mont-Royal,4712
Pointe-Claire,1071
Rivière-des-Prairies–Pointe-aux-Trembles,8960
Rosemont–La Petite Patrie,7049
Sainte-Anne-de-Bellevue,141
Saint-Laurent,8321
Saint-Léonard,7754
Senneville,23
Sud-Ouest,3935
Verdun,3158
Ville-Marie,4866
Villeray–Saint-Michel–Parc-Extension,11175
Westmount,737
Territoire à confirmer,1916
Total à Montréal,132417
