Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2488
Anjou,735
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2373
Côte-Saint-Luc,544
Dollard-des-Ormeaux,449
Dorval,205
Hampstead,59
Kirkland,135
Lachine,701
LaSalle,1296
L'Île-Bizard–Sainte-Geneviève,224
Mercier–Hochelaga-Maisonneuve,2488
Montréal-Est,48
Montréal-Nord,2653
Montréal-Ouest,30
Mont-Royal,290
Outremont,281
Pierrefonds–Roxboro,583
Plateau-Mont-Royal,1081
Pointe-Claire,244
Rivière-des-Prairies–Pointe-aux-Trembles,2246
Rosemont–La Petite Patrie,1769
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1165
Saint-Léonard,1197
Senneville,<5
Sud-Ouest,1047
Verdun,1030
Ville-Marie,1064
Villeray–Saint-Michel–Parc-Extension,2362
Westmount,198
Territoire à confirmer,647
Total à Montréal,29745
